,importance
V14,0.21128328483192846
V4,0.13739829861551348
V10,0.11879748148875703
V12,0.08098635542274515
V11,0.07002261676888455
V17,0.06620191425902483
V16,0.050808742549430005
V3,0.04193809363054866
V7,0.029607668294960518
V2,0.014821651478190319
V21,0.01465278769536406
Amount,0.013573178186640129
V19,0.012470761519137273
V18,0.012289409703127233
V9,0.011186073321604614
V6,0.01060414902623921
V1,0.010481721100305881
V20,0.010055511789305357
V8,0.009230440651987448
V27,0.008982217108752613
V26,0.008130263493061108
V15,0.007849120369448195
V23,0.007368563914537055
V5,0.006927402391360474
V28,0.0069263819291925845
V13,0.006421119257495866
V25,0.005641735701725024
Time,0.0054065835820051355
V24,0.005177093813461756
V22,0.004759378105266098
